story_id,culture,condition,orig_nodes,orig_edges,orig_density,orig_avg_degree,orig_longest_path,ret_nodes,ret_edges,ret_density,ret_avg_degree,ret_longest_path,compression_ratio_nodes,compression_ratio_edges,longest_path_ratio,density_diff,avg_degree_diff,longest_path_diff,graph_edit_distance
n03,native american,cross_culture,78,77,0.01282051282051282,1.9743589743589745,77,39,38,0.02564102564102564,1.9487179487179487,38,0.5,0.4935064935064935,0.4935064935064935,0.01282051282051282,-0.025641025641025772,-39,
n04,native american,same_culture,67,66,0.014925373134328358,1.9701492537313432,66,54,53,0.018518518518518517,1.962962962962963,53,0.8059701492537313,0.803030303030303,0.803030303030303,0.0035931453841901596,-0.007186290768380177,-13,
n04,native american,cross_culture,67,66,0.014925373134328358,1.9701492537313432,66,42,41,0.023809523809523808,1.9523809523809523,41,0.6268656716417911,0.6212121212121212,0.6212121212121212,0.00888415067519545,-0.01776830135039087,-25,
n05,native american,same_culture,119,118,0.008403361344537815,1.9831932773109244,118,107,106,0.009345794392523364,1.9813084112149533,106,0.8991596638655462,0.8983050847457628,0.8983050847457628,0.000942433047985549,-0.0018848660959711605,-12,
n05,native american,cross_culture,119,118,0.008403361344537815,1.9831932773109244,118,68,67,0.014705882352941176,1.9705882352941178,67,0.5714285714285714,0.5677966101694916,0.5677966101694916,0.0063025210084033615,-0.012605042016806678,-51,
n06,native american,same_culture,86,85,0.011627906976744186,1.9767441860465116,85,82,81,0.012195121951219513,1.975609756097561,81,0.9534883720930233,0.9529411764705882,0.9529411764705882,0.0005672149744753267,-0.0011344299489506326,-4,
n06,native american,cross_culture,86,85,0.011627906976744186,1.9767441860465116,85,61,60,0.01639344262295082,1.9672131147540983,60,0.7093023255813954,0.7058823529411765,0.7058823529411765,0.004765535646206635,-0.009531071292413262,-25,
n07,native american,same_culture,84,83,0.011904761904761904,1.9761904761904763,83,78,77,0.01282051282051282,1.9743589743589745,77,0.9285714285714286,0.927710843373494,0.927710843373494,0.000915750915750916,-0.001831501831501825,-6,
n07,native american,cross_culture,84,83,0.011904761904761904,1.9761904761904763,83,61,60,0.01639344262295082,1.9672131147540983,60,0.7261904761904762,0.7228915662650602,0.7228915662650602,0.004488680718188916,-0.00897736143637795,-23,
n08,native american,same_culture,59,58,0.01694915254237288,1.9661016949152543,58,70,69,0.014285714285714285,1.9714285714285715,69,1.1864406779661016,1.1896551724137931,1.1896551724137931,-0.002663438256658596,0.0053268765133172025,11,
n08,native american,cross_culture,59,58,0.01694915254237288,1.9661016949152543,58,41,40,0.024390243902439025,1.951219512195122,40,0.6949152542372882,0.6896551724137931,0.6896551724137931,0.007441091360066144,-0.01488218272013242,-18,
n09,native american,same_culture,58,57,0.017241379310344827,1.9655172413793103,57,66,65,0.015151515151515152,1.9696969696969697,65,1.1379310344827587,1.1403508771929824,1.1403508771929824,-0.0020898641588296754,0.004179728317659448,8,
n09,native american,cross_culture,58,57,0.017241379310344827,1.9655172413793103,57,56,55,0.017857142857142856,1.9642857142857142,55,0.9655172413793104,0.9649122807017544,0.9649122807017544,0.0006157635467980288,-0.0012315270935960854,-2,
